name,circuit,runtime
pp,sha256,10.825623452663422
pp,aes,5.21057835817337
pp,mult,1.4192795157432556
pp,adder,0.8604442238807678
pp,sha1,4.910150074958802
fx,sha256,8.129906141757965
fx,aes,4.261142635345459
fx,mult,1.2954136967658996
fx,adder,0.9089048981666565
fx,sha1,3.48956755399704
rr,sha256,6.582243049144745
rr,aes,4.298829674720764
rr,mult,1.1917261719703673
rr,adder,0.8913654208183288
rr,sha1,2.8192070722579956
baseline,sha256,12.851675820350646
baseline,aes,5.262345111370086
baseline,mult,1.498957085609436
baseline,adder,0.8623346567153931
baseline,sha1,5.655848336219788
